AreaID,AreaName
00000,Japan
01000,Hokkaido
02000,Aomori
03000,Iwate
04000,Miyagi
05000,Akita
06000,Yamagata
07000,Fukushima
08000,Ibaraki
09000,Tochigi
10000,Gunma
11000,Saitama
12000,Chiba
13000,Tokyo
14000,Kanagawa
15000,Niigata
16000,Toyama
19000,Yamanashi
20000,Nagano
21000,Gifu
22000,Shizuoka
23000,Aichi
24000,Mie
25000,Shiga
26000,Kyoto
27000,Osaka
28000,Hyogo
30000,Wakayama
32000,Shimane
33000,Okayama
34000,Hiroshima
35000,Yamaguchi
36000,Tokushima
37000,Kagawa
38000,Ehime
39000,Kochi
40000,Fukuoka
41000,Saga
42000,Nagasaki
43000,Kumamoto
44000,Oita
45000,Miyazaki
46000,Kagoshima
01100,Sapporo(Hokkaido)
11100,Saitama(Saitama)
14100,Yokohama(Kanagawa)
14130,Kawasaki(Kanagawa)
21219,Gujo(Gifu)
33100,Okayama(Okayama)
40130,Fukuoka(Fukuoka)
